layer,tag,mean_delta,max_delta,changed_ratio,collapse_ratio
up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_out.0,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_q,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_k,uce_fp,0.001894788583740592,0.0360870361328125,0.9831736087799072,0.4803761839866638
up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,uce_fp,0.0013651291374117136,0.0263519287109375,0.9792541265487671,0.5704233646392822
up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_out.0,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.2.transformer_blocks.0.ff.net.0.proj,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.2.transformer_blocks.0.ff.net.2,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.2.proj_out,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.resnets.0.conv1,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.resnets.0.time_emb_proj,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.resnets.0.conv2,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.resnets.0.conv_shortcut,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.resnets.1.conv1,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.resnets.1.time_emb_proj,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.resnets.1.conv2,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.resnets.1.conv_shortcut,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.resnets.2.conv1,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.resnets.2.time_emb_proj,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.resnets.2.conv2,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.resnets.2.conv_shortcut,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.upsamplers.0.conv,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.0.proj_in,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.0.transformer_blocks.0.attn1.to_q,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.0.transformer_blocks.0.attn1.to_k,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.0.transformer_blocks.0.attn1.to_v,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.0.transformer_blocks.0.attn1.to_out.0,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_q,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_k,uce_fp,0.002273131161928177,0.03851318359375,0.9861592650413513,0.4277140200138092
up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,uce_fp,0.0019245825242251158,0.03490257263183594,0.9817891716957092,0.4724792540073395
up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_out.0,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.0.transformer_blocks.0.ff.net.0.proj,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.0.transformer_blocks.0.ff.net.2,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.0.proj_out,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.1.proj_in,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.1.transformer_blocks.0.attn1.to_q,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.1.transformer_blocks.0.attn1.to_k,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.1.transformer_blocks.0.attn1.to_v,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.1.transformer_blocks.0.attn1.to_out.0,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_q,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_k,uce_fp,0.0022426554933190346,0.0437469482421875,0.9856343865394592,0.4352254271507263
up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,uce_fp,0.001556228380650282,0.03311920166015625,0.9866963624954224,0.5367513298988342
up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_out.0,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.1.transformer_blocks.0.ff.net.0.proj,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.1.transformer_blocks.0.ff.net.2,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.1.proj_out,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.2.proj_in,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.2.transformer_blocks.0.attn1.to_q,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.2.transformer_blocks.0.attn1.to_k,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.2.transformer_blocks.0.attn1.to_v,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.2.transformer_blocks.0.attn1.to_out.0,uce_fp,0.0,0.0,0.0,1.0
