key,stage,block_id,family,attn_group,shape,numel,changed_count,changed_ratio,l1_delta,l2_delta_sq,l2_delta,linf_delta,mean_abs_delta,l1_share_global,l2_energy_share_global
up_blocks.2.resnets.1.conv1.weight,up,up_blocks.2,resnet_conv1,non_attention,"(640, 1280, 3, 3)",7372800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.resnets.0.time_emb_proj.weight,up,up_blocks.2,time_emb_proj,non_attention,"(640, 1280)",819200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.resnets.0.norm2.weight,up,up_blocks.2,other,non_attention,"(640,)",640,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.resnets.0.norm1.weight,up,up_blocks.2,other,non_attention,"(1920,)",1920,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.resnets.0.conv_shortcut.weight,up,up_blocks.2,conv_shortcut,non_attention,"(640, 1920, 1, 1)",1228800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.resnets.0.conv2.weight,up,up_blocks.2,resnet_conv2,non_attention,"(640, 640, 3, 3)",3686400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.resnets.0.conv1.weight,up,up_blocks.2,resnet_conv1,non_attention,"(640, 1920, 3, 3)",11059200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.attentions.2.transformer_blocks.0.norm3.weight,up,up_blocks.2,other,non_attention,"(640,)",640,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.attentions.2.transformer_blocks.0.norm2.weight,up,up_blocks.2,other,non_attention,"(640,)",640,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.3.attentions.2.transformer_blocks.0.norm3.weight,up,up_blocks.3,other,non_attention,"(320,)",320,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.attentions.2.transformer_blocks.0.ff.net.2.weight,up,up_blocks.2,ff,non_attention,"(640, 2560)",1638400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.attentions.2.transformer_blocks.0.ff.net.0.proj.weight,up,up_blocks.2,ff,non_attention,"(5120, 640)",3276800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_q.weight,up,up_blocks.2,attn2_to_q,cross_attention,"(640, 640)",409600,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.attentions.0.transformer_blocks.0.ff.net.2.weight,up,up_blocks.1,ff,non_attention,"(1280, 5120)",6553600,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.attentions.2.transformer_blocks.0.attn1.to_v.weight,up,up_blocks.2,attn1_to_v,self_attention,"(640, 640)",409600,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.attentions.2.transformer_blocks.0.attn1.to_q.weight,up,up_blocks.2,attn1_to_q,self_attention,"(640, 640)",409600,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
