key,stage,family,numel,fp_changed_count,fp_changed_ratio,fp_mean_abs_delta,fp_max_abs_delta,fp_mean_abs_delta_changed_only,q_mean_abs_delta_to_base_all,q_mean_abs_delta_to_base_changed_only,q_survival_count,q_survival_ratio_over_fp_changed,closer_to_fp_count,closer_to_base_count,tie_count,closer_to_fp_ratio_over_fp_changed,closer_to_base_ratio_over_fp_changed,tie_ratio_over_fp_changed,same_sign_count,same_sign_ratio_over_fp_changed,mean_shrinkage_ratio_changed_only,median_shrinkage_ratio_changed_only,l1_delta,l2_delta_sq
down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_out.0.weight,down,attn2_to_out,1638400,1547127,0.9442913818359375,0.0002528069308027625,0.0040302276611328125,0.000267721334239468,0.0002528069308027625,0.000267721334239468,1547127,1.0,1547127,0,0,1.0,0.0,0.0,1547127,1.0,1.0,1.0,414.1988830566406,0.30748772621154785
up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_out.0.weight,up,attn2_to_out,1638400,1512293,0.9230303955078125,0.000229864934226498,0.004940032958984375,0.00024903289158828557,0.000229864934226498,0.00024903289158828557,1512293,1.0,1512293,0,0,1.0,0.0,0.0,1512293,1.0,1.0,1.0,376.6107177734375,0.3327823281288147
up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_out.0.weight,up,attn2_to_out,1638400,1519804,0.92761474609375,0.0002222384646302089,0.00489044189453125,0.00023958056408446282,0.00022223849373403937,0.00023958059318829328,1519804,1.0,1519804,0,0,1.0,0.0,0.0,1519804,1.0,1.0,1.0,364.1155090332031,0.3086540699005127
down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_out.0.weight,down,attn2_to_out,1638400,1535808,0.9373828125,0.00021858794207219034,0.0042438507080078125,0.00023318961029872298,0.00021858794207219034,0.00023318961029872298,1535808,1.0,1535808,0,0,1.0,0.0,0.0,1535808,1.0,1.0,1.0,358.1344909667969,0.24646741151809692
up_blocks.2.resnets.1.conv1.weight,up,resnet_conv1,7372800,6447233,0.8744619411892361,4.6413118980126455e-05,0.00390625,5.307620085659437e-05,4.6413118980126455e-05,5.307620085659437e-05,6447233,1.0,6446993,0,240,0.9999627747283214,0.0,3.72252716785635e-05,6447233,1.0,0.9999814033508301,1.0,342.19464111328125,0.04697386920452118
down_blocks.2.resnets.0.conv1.weight,down,resnet_conv1,7372800,6448890,0.8746866861979167,4.467322287382558e-05,0.0078125,5.1073402573820204e-05,4.467322651180439e-05,5.1073402573820204e-05,6448890,1.0,6448691,0,199,0.9999691419763711,0.0,3.085802362887257e-05,6448890,1.0,0.9999845623970032,1.0,329.3667297363281,0.037489935755729675
up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out.0.weight,up,attn2_to_out,1638400,1505350,0.918792724609375,0.0001961930247489363,0.00504302978515625,0.0002135334798367694,0.0001961930247489363,0.0002135334798367694,1505350,1.0,1505350,0,0,1.0,0.0,0.0,1505350,1.0,1.0,1.0,321.4426574707031,0.25228238105773926
mid_block.attentions.0.transformer_blocks.0.attn2.to_out.0.weight,mid,attn2_to_out,1638400,1507318,0.919993896484375,0.0001741275191307068,0.00371551513671875,0.00018927030032500625,0.0001741275191307068,0.00018927030032500625,1507318,1.0,1507318,0,0,1.0,0.0,0.0,1507318,1.0,1.0,1.0,285.29052734375,0.17438320815563202
up_blocks.2.resnets.2.conv1.weight,up,resnet_conv1,5529600,4834712,0.8743330439814815,4.871912096859887e-05,0.001953125,5.5721473472658545e-05,4.871912096859887e-05,5.5721473472658545e-05,4834712,1.0,4834559,0,153,0.9999683538543764,0.0,3.164614562356558e-05,4834712,1.0,0.9999842047691345,1.0,269.3972473144531,0.03722720965743065
up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_q.weight,up,attn2_to_q,1638400,1481667,0.9043377685546875,0.00015210791025310755,0.0047779083251953125,0.00016819810844026506,0.00015210791025310755,0.00016819810844026506,1481667,1.0,1481667,0,0,1.0,0.0,0.0,1481667,1.0,1.0,1.0,249.21359252929688,0.16483193635940552
